State,Date,Turnover rate
Karnataka,2020-07-31,5.94
Kerala,2020-07-31,2.71
Madhya Pradesh,2020-07-31,4.09
Maharashrta,2020-07-31,14.78
Odisha,2020-07-31,1.13
Punjab,2020-07-31,1.68
Rajasthan,2020-07-31,5.64
Tamil Nadu,2020-07-31,13.39
Telangana,2020-07-31,2.89
Uttar Pradesh,2020-07-31,7.94
Uttarakhand,2020-07-31,0.55
West Bengal,2020-07-31,2.89
Andhra Pradesh,2020-08-31,8.06
Assam,2020-08-31,0.4
Bihar,2020-08-31,1.2
Chandigarh,2020-08-31,0.58
Chattisgarh,2020-08-31,0.88
Delhi,2020-08-31,5.2
Goa,2020-08-31,0.13
Gujarath,2020-08-31,10.37
Haryana,2020-08-31,6.12
Himachal Pradesh,2020-08-31,0.38
Jammu and Kashmir,2020-08-31,0.19
Jharkand,2020-08-31,1.25
Karnataka,2020-08-31,5.86
Kerala,2020-08-31,3.05
Madhya Pradesh,2020-08-31,3.81
Maharashrta,2020-08-31,14.91
Odisha,2020-08-31,1.09
Punjab,2020-08-31,1.69
Rajasthan,2020-08-31,5.79
Tamil Nadu,2020-08-31,12.22
Telangana,2020-08-31,3.36
Uttar Pradesh,2020-08-31,7.75
Uttarakhand,2020-08-31,0.51
West Bengal,2020-08-31,3.44
Andhra Pradesh,2020-09-30,8.07
Assam,2020-09-30,0.34
Bihar,2020-09-30,1.22
Chandigarh,2020-09-30,0.47
Chattisgarh,2020-09-30,0.81
Delhi,2020-09-30,5.23
Goa,2020-09-30,0.08
Gujarath,2020-09-30,9.22
Haryana,2020-09-30,7.18
Himachal Pradesh,2020-09-30,0.19
Jammu and Kashmir,2020-09-30,0.22
Jharkand,2020-09-30,1.31
Karnataka,2020-09-30,5.94
Kerala,2020-09-30,2.9
Madhya Pradesh,2020-09-30,3.94
Maharashrta,2020-09-30,14.82
Odisha,2020-09-30,1.17
Punjab,2020-09-30,1.49
Rajasthan,2020-09-30,5.93
Tamil Nadu,2020-09-30,12.52
Telangana,2020-09-30,3.66
Uttar Pradesh,2020-09-30,7.4
Uttarakhand,2020-09-30,0.66
West Bengal,2020-09-30,3.27
Andhra Pradesh,2020-10-31,7.52
Assam,2020-10-31,0.36
Bihar,2020-10-31,1.17
Chandigarh,2020-10-31,0.32
Chattisgarh,2020-10-31,0.79
Delhi,2020-10-31,4.67
Goa,2020-10-31,0.1
Gujarath,2020-10-31,9.05
Haryana,2020-10-31,7.35
Himachal Pradesh,2020-10-31,0.19
