Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,1639.000000,1699.000000,1633.099976,1683.099976,1679.047852,3532977
2020-06-01,1706.500000,1711.900024,1681.500000,1693.250000,1689.173462,2529255
2020-06-02,1693.250000,1733.000000,1680.000000,1709.300049,1705.184814,2440552
2020-06-03,1724.000000,1744.000000,1705.849976,1716.550049,1712.417480,3088817
2020-06-04,1716.449951,1719.599976,1627.000000,1633.750000,1629.816772,4388930
2020-06-05,1650.000000,1659.349976,1621.000000,1638.550049,1634.605225,2884206
2020-06-08,1657.000000,1666.000000,1629.000000,1634.250000,1630.315430,2046505
2020-06-09,1640.000000,1695.000000,1636.750000,1642.050049,1638.096802,3671930
2020-06-10,1648.000000,1675.099976,1627.900024,1635.949951,1632.011353,2069280
2020-06-11,1635.949951,1646.000000,1607.000000,1610.599976,1606.722412,1888420
2020-06-12,1580.000000,1642.949951,1577.500000,1637.349976,1633.408081,2391556
2020-06-15,1629.000000,1650.650024,1602.099976,1618.199951,1614.304077,1681166
2020-06-16,1639.000000,1640.250000,1607.650024,1621.699951,1617.795654,1497691
2020-06-17,1607.550049,1622.650024,1590.400024,1595.400024,1591.559082,1812788
2020-06-18,1595.400024,1612.199951,1587.300049,1597.800049,1593.953369,1417273
2020-06-19,1597.800049,1630.000000,1591.050049,1622.500000,1618.593750,2714342
2020-06-22,1633.000000,1673.500000,1624.000000,1652.150024,1648.172485,2034739
2020-06-23,1659.849976,1689.000000,1641.000000,1683.900024,1679.845947,2334863
2020-06-24,1684.000000,1813.750000,1684.000000,1747.250000,1743.043457,11545923
2020-06-25,1740.000000,1747.000000,1683.150024,1689.000000,1684.933716,4054785
2020-06-26,1710.000000,1710.349976,1670.699951,1686.750000,1682.689087,2129986
2020-06-29,1687.000000,1708.449951,1674.050049,1691.949951,1687.876587,2753482
2020-06-30,1708.900024,1718.000000,1681.650024,1687.449951,1683.387329,1960731
2020-07-01,1698.000000,1698.000000,1680.050049,1688.000000,1683.936035,1661296
2020-07-02,1700.000000,1704.000000,1660.099976,1686.449951,1682.389893,2038399
2020-07-03,1695.400024,1720.000000,1690.000000,1695.650024,1691.567749,1988941
2020-07-06,1708.949951,1712.000000,1692.150024,1708.849976,1704.735962,1236670
2020-07-07,1708.949951,1749.900024,1705.849976,1745.750000,1741.547119,2983260
2020-07-08,1750.000000,1761.800049,1680.050049,1686.250000,1682.190308,2725937
2020-07-09,1694.000000,1722.000000,1692.099976,1717.250000,1713.115723,1904661
2020-07-10,1707.949951,1711.000000,1695.199951,1703.500000,1699.398804,1156043
2020-07-13,1708.000000,1732.900024,1700.000000,1705.650024,1701.543701,1289791
2020-07-14,1705.650024,1718.000000,1682.099976,1688.400024,1684.335205,1347120
2020-07-15,1700.000000,1713.599976,1663.300049,1671.650024,1667.625488,1611341
2020-07-16,1679.800049,1697.099976,1645.099976,1693.199951,1689.123535,1442725
2020-07-17,1695.000000,1742.500000,1689.750000,1717.900024,1713.764160,2308792
2020-07-20,1727.000000,1757.349976,1720.250000,1751.599976,1747.382935,1848600
2020-07-21,1761.000000,1771.750000,1719.000000,1724.250000,1720.098877,2088461
2020-07-22,1724.250000,1736.400024,1691.000000,1695.750000,1691.667358,1300409
2020-07-23,1690.000000,1740.000000,1687.000000,1727.800049,1725.166382,2375218
2020-07-24,1724.000000,1727.000000,1682.000000,1712.050049,1709.440430,3971563
2020-07-27,1717.199951,1788.000000,1717.199951,1778.150024,1775.439697,6470525
2020-07-28,1779.000000,1792.650024,1751.050049,1759.650024,1756.967896,2534092
2020-07-29,1770.000000,1779.900024,1730.000000,1740.150024,1737.497559,1530981
2020-07-30,1752.000000,1778.000000,1728.099976,1743.349976,1740.692627,2113975
2020-07-31,1754.000000,1770.900024,1710.400024,1715.500000,1712.885132,1678643
2020-08-03,1729.000000,1735.000000,1697.500000,1705.500000,1702.900391,1437425
2020-08-04,1719.000000,1735.000000,1708.550049,1713.949951,1711.337402,1815396
2020-08-05,1718.000000,1741.949951,1712.500000,1716.300049,1713.683960,1416803
2020-08-06,1732.050049,1752.099976,1720.099976,1727.550049,1724.916748,1914507
2020-08-07,1727.550049,1816.900024,1725.699951,1806.250000,1803.496826,5166075
2020-08-10,1810.000000,1824.300049,1777.000000,1782.349976,1779.633179,1892614
2020-08-11,1800.000000,1837.800049,1780.000000,1789.550049,1786.822266,3039662
2020-08-12,1789.949951,1806.000000,1772.000000,1797.250000,1794.510498,1679096
2020-08-13,1806.400024,1815.000000,1788.000000,1802.550049,1799.802490,1192375
2020-08-14,1818.699951,1830.000000,1795.500000,1802.550049,1799.802490,1868376
2020-08-17,1820.000000,1842.500000,1801.849976,1836.699951,1833.900269,1634180
2020-08-18,1831.000000,1884.000000,1831.000000,1874.099976,1871.243286,2586298
2020-08-19,1890.000000,1902.400024,1872.550049,1885.699951,1882.825684,1947114
2020-08-20,1867.949951,1880.000000,1857.050049,1874.900024,1872.042114,1538879
2020-08-21,1887.900024,1973.250000,1880.750000,1958.000000,1955.015503,5688228
2020-08-24,1958.000000,1996.000000,1940.000000,1962.150024,1959.159180,3996329
2020-08-25,1964.250000,2016.849976,1964.000000,2000.599976,1997.550537,3544399
2020-08-26,2000.949951,2009.000000,1955.500000,1971.400024,1968.395020,2245810
2020-08-27,1980.900024,2009.000000,1970.050049,1982.500000,1979.478149,3116305
2020-08-28,1994.000000,1997.000000,1953.300049,1958.099976,1955.115356,1842536
2020-08-31,1977.000000,1983.900024,1881.250000,1899.099976,1896.205200,2738522
2020-09-01,1925.000000,1988.000000,1907.750000,1979.300049,1976.283081,3068285
2020-09-02,1977.949951,1997.000000,1925.000000,1943.949951,1940.986816,2569603
2020-09-03,1950.199951,1987.849976,1945.000000,1978.000000,1974.984985,1931667
2020-09-04,1958.000000,1993.699951,1951.000000,1956.349976,1953.367920,1930422
2020-09-07,1965.000000,2003.650024,1948.099976,1982.099976,1979.078735,2855392
2020-09-08,1987.500000,2001.949951,1952.000000,1960.349976,1957.361816,2401034
2020-09-09,1960.349976,1993.900024,1958.000000,1979.050049,1976.033447,2776804
2020-09-10,1985.050049,2069.699951,1981.000000,2056.550049,2053.415283,5081252
2020-09-11,2063.000000,2069.949951,2022.000000,2035.949951,2032.846558,2599475
2020-09-14,2050.000000,2054.000000,2005.000000,2031.199951,2028.103882,2142458
2020-09-15,2045.000000,2049.550049,2009.050049,2017.550049,2014.474731,1997383
2020-09-16,2027.000000,2027.000000,1994.150024,2012.099976,2009.032959,1717740
2020-09-17,2000.000000,2045.000000,2000.000000,2007.949951,2004.889282,2416918
2020-09-18,2026.300049,2044.349976,2015.000000,2028.400024,2025.308228,3021436
2020-09-21,2036.400024,2057.000000,1962.300049,1972.550049,1969.543335,2518361
2020-09-22,1990.199951,1995.699951,1926.349976,1937.500000,1934.546753,1974860
2020-09-23,1940.000000,1990.000000,1928.300049,1946.550049,1943.583008,2732912
2020-09-24,1941.550049,1945.000000,1907.750000,1918.349976,1915.425903,1906183
2020-09-25,1925.250000,1955.000000,1908.000000,1925.599976,1922.664795,1939316
2020-09-28,1938.000000,1958.000000,1930.000000,1945.599976,1942.634399,1137313
2020-09-29,1960.000000,1989.949951,1954.000000,1959.949951,1956.962402,1965383
2020-09-30,1966.099976,2004.000000,1958.150024,1986.400024,1983.372192,2518982
2020-10-01,2007.000000,2049.350098,1992.050049,2040.449951,2037.339722,2014003
2020-10-05,2040.449951,2042.699951,2011.000000,2028.000000,2024.908813,1554873
2020-10-06,2050.000000,2097.899902,2045.099976,2090.000000,2086.814209,3152378
2020-10-07,2080.000000,2118.800049,2073.949951,2105.000000,2101.791504,2429595
2020-10-08,2104.500000,2107.949951,2072.050049,2088.649902,2085.466309,1427493
2020-10-09,2094.000000,2108.899902,2045.150024,2050.600098,2047.474487,1636939
2020-10-12,2067.899902,2086.449951,2041.250000,2077.850098,2074.682861,2182836
2020-10-13,2077.000000,2114.000000,2054.050049,2064.649902,2061.502930,2619233
2020-10-14,2070.000000,2085.500000,2055.000000,2071.350098,2068.192871,1530471
2020-10-15,2070.000000,2124.000000,2066.050049,2090.449951,2087.263428,4001883
2020-10-16,2089.949951,2090.000000,2055.550049,2061.199951,2058.058105,2017706
2020-10-19,2079.949951,2079.949951,2056.500000,2070.100098,2066.944824,1338404
2020-10-20,2077.899902,2131.800049,2067.350098,2118.500000,2115.270752,2377713
2020-10-21,2130.000000,2143.850098,2081.250000,2114.300049,2111.077393,2895432
2020-10-22,2114.199951,2116.850098,2076.800049,2099.899902,2096.698975,2755686
2020-10-23,2113.500000,2129.399902,2096.000000,2120.250000,2117.018066,3070714
2020-10-26,2116.350098,2116.350098,2070.050049,2080.449951,2077.278809,1278139
2020-10-27,2085.000000,2207.350098,2085.000000,2197.800049,2194.449951,4964874
2020-10-28,2199.800049,2218.550049,2150.149902,2159.550049,2159.550049,3166047
2020-10-29,2162.000000,2233.250000,2161.100098,2225.449951,2225.449951,4795796
2020-10-30,2210.100098,2242.850098,2195.500000,2211.500000,2211.500000,3006197
2020-11-02,2198.000000,2225.899902,2166.100098,2172.850098,2172.850098,1772571
2020-11-03,2193.899902,2193.899902,2146.750000,2154.649902,2154.649902,1781465
2020-11-04,2160.000000,2213.850098,2156.000000,2169.449951,2169.449951,2189957
2020-11-05,2190.000000,2245.699951,2183.649902,2238.300049,2238.300049,2671841
2020-11-06,2233.949951,2248.000000,2202.500000,2209.050049,2209.050049,2395965
2020-11-09,2249.000000,2249.000000,2214.149902,2225.199951,2225.199951,1691773
2020-11-10,2225.199951,2238.550049,2189.000000,2199.750000,2199.750000,1879561
2020-11-11,2205.000000,2223.000000,2157.300049,2181.699951,2181.699951,2387398
2020-11-12,2172.000000,2201.750000,2162.000000,2171.800049,2171.800049,1626054
2020-11-13,2180.500000,2206.550049,2172.000000,2179.949951,2179.949951,1560060
2020-11-14,null,null,null,null,null,null
2020-11-17,2206.399902,2221.899902,2182.000000,2187.649902,2187.649902,1699293
2020-11-18,2185.000000,2210.000000,2166.100098,2195.750000,2195.750000,1817170
2020-11-19,2175.000000,2195.000000,2156.699951,2161.699951,2161.699951,2669522
2020-11-20,2163.350098,2190.050049,2160.550049,2166.550049,2166.550049,2196113
2020-11-23,2160.550049,2196.949951,2138.800049,2186.250000,2186.250000,4002609
2020-11-24,2192.899902,2231.000000,2191.000000,2207.899902,2207.899902,2954306
2020-11-25,2197.250000,2208.699951,2150.000000,2154.300049,2154.300049,1682365
2020-11-26,2160.000000,2177.449951,2117.149902,2155.300049,2155.300049,2247478
2020-11-27,2170.000000,2244.600098,2165.000000,2215.300049,2215.300049,10036402
2020-12-01,2275.000000,2275.000000,2206.199951,2230.050049,2230.050049,2235498
2020-12-02,2241.000000,2325.949951,2236.000000,2315.850098,2315.850098,3305952
2020-12-03,2340.000000,2421.850098,2316.250000,2411.399902,2411.399902,4334658
2020-12-04,2400.000000,2445.000000,2375.000000,2438.750000,2438.750000,2789953
2020-12-07,2440.000000,2478.800049,2437.000000,2472.550049,2472.550049,1762501
2020-12-08,2470.550049,2484.199951,2427.949951,2438.899902,2438.899902,2090950
2020-12-09,2450.000000,2532.100098,2447.000000,2522.300049,2522.300049,2022370
2020-12-10,2515.949951,2552.000000,2501.000000,2526.050049,2526.050049,2372909
2020-12-11,2516.000000,2536.899902,2495.000000,2520.949951,2520.949951,2171653
2020-12-14,2530.000000,2553.899902,2521.000000,2548.149902,2548.149902,1280339
2020-12-15,2535.000000,2538.600098,2502.500000,2527.449951,2527.449951,1283286
2020-12-16,2540.000000,2587.899902,2537.600098,2582.449951,2582.449951,1920875
2020-12-17,2569.000000,2603.350098,2557.000000,2575.050049,2575.050049,1750663
2020-12-18,2577.000000,2636.000000,2575.550049,2601.500000,2601.500000,4402604
2020-12-21,2595.449951,2602.300049,2539.100098,2554.649902,2554.649902,1383048
2020-12-22,2541.000000,2613.600098,2496.199951,2600.800049,2600.800049,1993090
2020-12-23,2604.000000,2650.000000,2604.000000,2642.550049,2642.550049,1339307
2020-12-24,2658.000000,2658.000000,2613.000000,2648.250000,2648.250000,1143202
2020-12-28,2654.250000,2689.500000,2629.550049,2683.899902,2683.899902,1226254
2020-12-29,2685.000000,2712.449951,2673.000000,2696.800049,2696.800049,1562853
2020-12-30,2694.000000,2742.850098,2680.350098,2734.399902,2734.399902,1614643
2020-12-31,2734.399902,2772.000000,2725.050049,2764.500000,2764.500000,1526325
2021-01-01,2759.000000,2792.000000,2750.000000,2775.550049,2775.550049,1246698
2021-01-04,2781.100098,2791.100098,2745.000000,2753.699951,2753.699951,1360486
2021-01-05,2753.699951,2804.600098,2732.000000,2793.850098,2793.850098,1299589
2021-01-06,2801.300049,2822.449951,2780.000000,2805.350098,2805.350098,1697884
2021-01-07,2801.000000,2831.850098,2781.500000,2792.250000,2792.250000,1142806
2021-01-08,2818.000000,2849.800049,2789.050049,2844.699951,2844.699951,1660967
2021-01-11,2845.000000,2873.449951,2824.600098,2849.300049,2849.300049,1517995
2021-01-12,2849.600098,2850.000000,2712.149902,2720.550049,2720.550049,6674890
2021-01-13,2760.000000,2763.000000,2678.000000,2703.699951,2703.699951,2862676
2021-01-14,2713.000000,2736.649902,2648.000000,2663.899902,2663.899902,2124950
2021-01-15,2660.899902,2661.850098,2580.550049,2590.899902,2590.899902,2570436
2021-01-18,2592.000000,2619.850098,2555.399902,2588.199951,2588.199951,2395168
2021-01-19,2615.000000,2676.600098,2590.000000,2645.050049,2645.050049,2558693
2021-01-20,2654.000000,2707.149902,2645.050049,2697.250000,2697.250000,2065439
2021-01-21,2726.949951,2816.949951,2695.000000,2716.350098,2716.350098,5015712
2021-01-22,2750.000000,2768.850098,2590.000000,2596.649902,2596.649902,4945564
