Date,Close/Last,Volume,Open,High,Low
04/30/2021,$513.47,4413242,$505,$514.55,$505
04/29/2021,$509,5127792,$507.6,$509.29,$499
04/28/2021,$506.52,3192983,$505.2,$508.395,$503.34
04/27/2021,$505.55,3761327,$512.62,$512.99,$504.5808
04/26/2021,$510.3,4388839,$506.76,$510.48,$503
04/23/2021,$505.55,7314659,$509.01,$509.7,$500.7
04/22/2021,$508.78,9061062,$513.82,$513.96,$500.55
04/21/2021,$508.9,22897450,$508,$515.46,$503.6001
04/20/2021,$549.57,11257650,$554.42,$563.56,$546.3
04/19/2021,$554.44,4288715,$546.9,$556.44,$545.53
04/16/2021,$546.54,3209075,$550.54,$551.98,$539.51
04/15/2021,$549.22,3139050,$544.17,$553.49,$542.66
04/14/2021,$540.02,3740294,$554.87,$554.87,$538.53
04/13/2021,$553.73,2720344,$557,$559.75,$550.3
04/12/2021,$552.78,2944060,$551.05,$557.98,$549.58
04/09/2021,$555.31,2894034,$552.69,$556.9,$547.11
04/08/2021,$554.58,4309829,$551.13,$556.899,$547.57
04/07/2021,$546.99,2151319,$543.5,$549.64,$541.45
04/06/2021,$544.53,3474205,$544.81,$554.165,$543.3
04/05/2021,$540.67,3355904,$540.01,$542.85,$529.23
04/01/2021,$539.42,3938637,$529.93,$540.5,$527.03
03/31/2021,$521.66,3503111,$515.675,$528.13,$515.44
03/30/2021,$513.39,2418129,$510.505,$514.41,$506.91
03/29/2021,$513.95,3330049,$505.66,$518,$504.4
03/26/2021,$508.05,3467797,$502.82,$508.72,$496.68
03/25/2021,$502.86,4926764,$516.99,$518.53,$497
03/24/2021,$520.81,4102211,$533.78,$534.42,$520
03/23/2021,$535.09,5583461,$529.87,$543.12,$529.4
03/22/2021,$523.11,3360587,$509.13,$529.31,$509.13
03/19/2021,$512.18,4386360,$504.96,$513.19,$501.63
03/18/2021,$504.79,4096606,$516.396,$517.9,$503.85
03/17/2021,$524.44,2817376,$522,$528.3654,$514.3
03/16/2021,$524.03,3238888,$524.47,$533.42,$523.21
03/15/2021,$520.25,3485519,$516.32,$520.729,$508.03
03/12/2021,$518.02,3981743,$512.5,$526.51,$506.59
03/11/2021,$523.06,4714469,$512.205,$530.235,$510.71
03/10/2021,$504.54,3771484,$513.5,$518.97,$504.25
03/09/2021,$506.44,3470042,$507.31,$513.11,$503.8221
03/08/2021,$493.33,3981758,$514.46,$518.84,$492.85
